yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201314,7.7,0.0,22.8,16.2,0.0,18.04285714285714,4,Boston
201315,10.242857142857142,2.2,23.9,1.8,0.0,19.8,2,Boston
201316,9.414285714285715,2.2,20.6,13.799999999999999,0.0,21.142857142857142,3,Boston
201317,11.6,5.6,21.1,0.0,0.0,13.685714285714285,0,Boston
201318,12.028571428571428,4.4,22.2,26.4,0.0,13.114285714285714,3,Boston
201319,15.285714285714286,6.7,27.8,1.5,0.0,18.814285714285713,2,Boston
201320,15.528571428571427,10.0,27.8,22.7,0.0,14.414285714285715,6,Boston
201321,16.842857142857145,5.0,34.4,31.2,0.0,17.17142857142857,3,Boston
201322,20.442857142857143,12.8,33.3,96.5,0.0,18.657142857142855,3,Boston
201323,17.142857142857142,11.7,26.7,117.2,0.0,16.085714285714285,6,Boston
201324,20.17142857142857,14.4,30.6,26.9,0.0,15.328571428571427,2,Boston
201325,23.785714285714285,16.1,35.0,21.6,0.0,17.54285714285714,4,Boston
201326,25.12857142857143,16.1,35.0,5.3999999999999995,0.0,17.7,3,Boston
201327,24.642857142857142,18.3,33.9,4.8999999999999995,0.0,14.87142857142857,3,Boston
201328,26.557142857142857,18.9,37.2,0.3,0.0,13.471428571428573,1,Boston
201329,23.157142857142855,15.6,35.6,77.3,0.0,15.071428571428571,4,Boston
201330,22.442857142857143,16.7,29.4,12.0,0.0,12.957142857142857,3,Boston
201331,21.714285714285715,15.0,27.8,42.9,0.0,16.414285714285715,2,Boston
201332,22.17142857142857,15.6,29.4,0.0,0.0,14.757142857142856,0,Boston
201333,23.414285714285715,17.2,31.7,0.0,0.0,13.485714285714286,0,Boston
201334,20.414285714285715,15.6,28.9,0.6,0.0,13.385714285714286,2,Boston
201335,21.642857142857142,11.1,27.8,21.7,0.0,14.271428571428572,3,Boston
201336,21.114285714285717,11.1,36.1,25.200000000000003,0.0,16.714285714285715,3,Boston
201337,16.342857142857145,6.7,23.9,0.0,0.0,12.742857142857144,0,Boston
201338,15.700000000000001,8.3,25.0,9.4,0.0,16.45714285714286,1,Boston
